"id","name","region","locality","hotel_style"
260396,The Amsterdam Inn,NY,New York City,"Quaint, Residential Neighborhood"
93593,The Westin New York Grand Central,NY,New York City,"Centrally Located, Great View"
1028569,Greenwich Hotel,NY,New York City,"Romantic, Luxury"
